,uni,offer type,postgrad,gpa,gamsat,combo score
132,University of Melbourne,CSP,No,6.95,75.0,1.742857143
135,University of Melbourne,CSP,No,7.0,76.0,1.76
136,University of Melbourne,CSP,Yes,6.73,77.0,1.731428571
138,University of Melbourne,CSP,No,6.74,78.0,1.742857143
166,University of Notre Dame Fremantle,CSP,No,5.91,61.0,1.454285714
167,University of Notre Dame Fremantle,BMP,No,6.85,62.0,1.598571429
170,University of Notre Dame Fremantle,CSP,No,6.66,63.0,1.581428571
171,University of Notre Dame Fremantle,CSP,No,7.0,64.0,1.64
172,University of Notre Dame Fremantle,CSP,Yes,6.58,64.0,1.58
173,University of Notre Dame Fremantle,CSP,Yes,6.03,65.0,1.511428571
174,University of Notre Dame Fremantle,BMP,No,6.45,66.0,1.581428571
176,University of Notre Dame Fremantle,BMP,No,6.65,67.0,1.62
177,University of Notre Dame Fremantle,CSP,No,6.62,68.0,1.625714286
178,University of Notre Dame Fremantle,CSP,No,6.94,68.0,1.671428571
179,University of Notre Dame Fremantle,CSP,No,6.91,68.0,1.667142857
181,University of Notre Dame Fremantle,CSP,No,6.15,71.0,1.588571429
182,University of Notre Dame Fremantle,CSP,No,6.82,72.0,1.694285714
188,University of Notre Dame Sydney,CSP,No,6.68,62.0,1.574285714
196,University of Notre Dame Sydney,CSP,No,6.85,66.0,1.638571429
197,University of Notre Dame Sydney,CSP,No,6.5,67.0,1.598571429
198,University of Notre Dame Sydney,CSP,No,6.89,67.0,1.654285714
199,University of Notre Dame Sydney,BMP,No,6.4,67.0,1.584285714
202,University of Notre Dame Sydney,CSP,No,6.58,69.0,1.63
203,University of Notre Dame Sydney,CSP,No,6.1,69.0,1.561428571
206,University of Notre Dame Sydney,CSP,Yes,6.56,69.0,1.627142857
216,University of Queensland,CSP,No,7.0,64.0,1.64
217,University of Queensland,CSP,No,7.0,65.0,1.65
219,University of Queensland,CSP,No,6.93,65.0,1.64
220,University of Queensland,CSP,No,7.0,66.0,1.66
221,University of Queensland,CSP,No,6.88,67.0,1.652857143
222,University of Queensland,CSP,No,6.66,67.0,1.621428571
223,University of Queensland,CSP,No,7.0,67.0,1.67
224,University of Queensland,CSP,Yes,7.0,68.0,1.68
225,University of Queensland,BMP,No,7.0,68.0,1.68
226,University of Queensland,CSP,Yes,6.94,69.0,1.681428571
227,University of Queensland,CSP,No,7.0,69.0,1.69
228,University of Queensland,CSP,Yes,7.0,69.0,1.69
229,University of Queensland,BMP,Yes,7.0,70.0,1.7
230,University of Queensland,CSP,No,6.85,70.0,1.678571429
231,University of Queensland,CSP,Yes,7.0,70.0,1.7
232,University of Queensland,CSP,No,7.0,70.0,1.7
233,University of Queensland,CSP,No,7.0,71.0,1.71
234,University of Queensland,CSP,Yes,6.72,72.0,1.68
235,University of Queensland,BMP,No,6.88,72.0,1.702857143
236,University of Queensland,CSP,Yes,6.83,72.0,1.695714286
237,University of Queensland,CSP,No,6.83,74.0,1.715714286
238,University of Queensland,CSP,No,6.28,74.0,1.637142857
239,University of Queensland,CSP,No,6.88,75.0,1.732857143
240,University of Queensland,CSP,No,6.66,75.0,1.701428571
241,University of Queensland,CSP,No,6.83,78.0,1.755714286
257,University of Sydney,BMP,Yes,6.16,70.0,1.58
258,University of Sydney,BMP,No,6.3,70.0,1.6
260,University of Sydney,BMP,No,6.82,71.0,1.684285714
261,University of Sydney,BMP,No,5.71,71.0,1.525714286
262,University of Sydney,CSP,Yes,5.76,71.0,1.532857143
263,University of Sydney,CSP,No,5.26,71.0,1.461428571
264,University of Sydney,BMP,No,6.85,71.0,1.688571429
265,University of Sydney,CSP,No,6.56,71.0,1.647142857
