,Timestamp,Rurality,University,Final Combo Score,GPA,GAMSAT,Raw Combo Score,UQ RMP/MP Tier,CASPer Quartile,Deakin Bonus,ANU Bonus,MQ Bonus (GPA),Notes,Outlier?
147,30/08/2023 11:30:50,Non-Rural,The University of Melbourne,1.70172857142857,6.919,71.33,1.70172857142857,N/A,N/A,0,0,0,-,
148,30/08/2023 12:36:04,Non-Rural,The University of Melbourne,1.70044285714286,6.84,72.33,1.70044285714286,N/A,4th,2,0,0,-,
149,30/08/2023 13:40:02,Non-Rural,The University of Melbourne,1.69972857142857,6.975,70.33,1.69972857142857,N/A,2nd,0,4,0,-,
150,30/08/2023 11:16:26,Non-Rural,The University of Melbourne,1.69898571428571,6.736,73.67,1.69898571428571,N/A,3rd,0,2,0,"GAM, above average port",
151,31/08/2023 09:17:36,Non-Rural,The University of Melbourne,1.69801428571429,6.963,70.33,1.69801428571429,N/A,3rd,0,0,0,WA Resident,
152,31/08/2023 09:30:22,Non-Rural,The University of Melbourne,1.6967,7,69.67,1.6967,N/A,N/A,0,0,0,-,
153,31/08/2023 12:00:34,Non-Rural,The University of Melbourne,1.6967,7,69.67,1.6967,N/A,N/A,0,0,0,-,
154,30/08/2023 11:31:42,Non-Rural,The University of Melbourne,1.694,6.818,72,1.694,N/A,4th,0,0,0,-,
155,31/08/2023 22:09:53,Non-Rural,The University of Melbourne,1.69241428571429,6.83,71.67,1.69241428571429,N/A,N/A,0,0,0,GAM applicant,
156,31/08/2023 20:16:06,Non-Rural,The University of Melbourne,1.69214285714286,6.945,70,1.69214285714286,N/A,N/A,0,0,0,-,
157,30/08/2023 12:20:27,Non-Rural,The University of Melbourne,1.69114285714286,6.938,70,1.69114285714286,N/A,N/A,0,0,0,-,
158,30/08/2023 11:41:28,Non-Rural,The University of Melbourne,1.69,6.86,71,1.69,N/A,N/A,0,0,0,-,
159,30/08/2023 14:02:03,Non-Rural,The University of Melbourne,1.68901428571429,6.9,70.33,1.68901428571429,N/A,N/A,0,0,0,-,
160,30/08/2023 11:44:30,Non-Rural,The University of Melbourne,1.68844285714286,6.896,70.33,1.68844285714286,N/A,N/A,0,0,0,-,
161,30/08/2023 17:13:47,Non-Rural,The University of Melbourne,1.68801428571429,6.963,69.33,1.68801428571429,N/A,N/A,2,2,0,-,
162,01/09/2023 20:26:57,Non-Rural,The University of Melbourne,1.6867,7,68.67,1.6867,N/A,N/A,0,0,0,n/a,
163,30/08/2023 12:02:16,Non-Rural,The University of Melbourne,1.68557142857143,6.969,69,1.68557142857143,N/A,3rd,0,2,0,GAM,
164,30/08/2023 12:15:40,Non-Rural,The University of Melbourne,1.68544285714286,6.875,70.33,1.68544285714286,N/A,N/A,2,2,0,GAM,
165,30/08/2023 14:33:05,Non-Rural,The University of Melbourne,1.68398571428571,6.981,68.67,1.68398571428571,N/A,4th,2,0,0,Very strong portfolio for UoW,
166,30/08/2023 13:19:03,Non-Rural,The University of Melbourne,1.68258571428571,6.575,74.33,1.68258571428571,N/A,N/A,0,0,0,-,
167,30/08/2023 12:30:17,Non-Rural,The University of Melbourne,1.68242857142857,6.667,73,1.68242857142857,N/A,4th,2,2,0,-,
168,30/08/2023 14:01:16,Non-Rural,The University of Melbourne,1.68044285714286,6.7,72.33,1.68044285714286,N/A,N/A,0,0,0,-,
169,30/08/2023 11:36:19,Non-Rural,The University of Melbourne,1.68015714285714,6.838,70.33,1.68015714285714,N/A,N/A,0,0,0,-,
170,30/08/2023 12:09:13,Non-Rural,The University of Melbourne,1.68014285714286,6.651,73,1.68014285714286,N/A,N/A,0,0,0,-,
171,30/08/2023 17:29:20,Non-Rural,The University of Melbourne,1.68,7,68,1.68,N/A,N/A,0,0,0,-,
172,30/08/2023 12:04:30,Non-Rural,The University of Melbourne,1.67987142857143,6.906,69.33,1.67987142857143,N/A,4th,0,0,0,-,
173,30/08/2023 12:40:08,Non-Rural,The University of Melbourne,1.67955714285714,6.53,74.67,1.67955714285714,N/A,N/A,0,0,0,-,Lowest I > Max R
174,30/08/2023 12:29:21,Non-Rural,The University of Melbourne,1.67741428571429,6.865,69.67,1.67741428571429,N/A,N/A,0,0,0,-,-
175,30/08/2023 20:40:08,Non-Rural,The University of Melbourne,1.67571428571429,6.83,70,1.67571428571429,N/A,N/A,0,0,0,-,-
176,30/08/2023 14:07:51,Non-Rural,The University of Melbourne,1.67498571428571,6.778,70.67,1.67498571428571,N/A,4th,6,0,0,-,-
177,30/08/2023 11:44:30,Non-Rural,The University of Melbourne,1.67472857142857,6.87,69.33,1.67472857142857,Tier 3,N/A,0,0,0,-,-
178,30/08/2023 13:42:06,Non-Rural,The University of Melbourne,1.6733,7,67.33,1.6733,N/A,N/A,0,0,0,-,-
179,30/08/2023 16:42:03,Non-Rural,The University of Melbourne,1.67285714285714,6.95,68,1.67285714285714,N/A,3rd,0,0,0,-,-
180,10/09/2023 13:36:00,Non-Rural,The University of Melbourne,1.67272857142857,6.646,72.33,1.67272857142857,N/A,4th,0,0,0,GAM,-
181,30/08/2023 12:34:24,Non-Rural,The University of Melbourne,1.67098571428571,6.75,70.67,1.67098571428571,N/A,2nd,0,0,0,GAM,-
