,rurality,s1 score,s2 score,s3 score,deakin bonus,anu bonus,mq bonus,notes,interview?,interview uni,interview uni gpa,interview uni gamsat,pref 1 uni,pref 1 gpa,pref 1 gamsat,pref 2 uni,pref 2 gpa,pref 2 gamsat,pref 3 uni,pref 3 gpa,pref 3 gamsat,pref 4 uni,pref 4 gpa,pref 4 gamsat,pref 5 uni,pref 5 gpa,pref 5 gamsat,pref 6 uni,pref 6 gpa,pref 6 gamsat,year,uq tier,casper quartile,deakin tier,unimelb gam,undf bonuses,unds bonuses,uow bonuses
117,Non-Rural,74,83,80,4,2,0,,Yes,The University of Notre Dame Sydney,5.383,79.0,The University of Queensland,5.625,79.0,Deakin University,5.539,79.25,Griffith University,5.278,79.25,Australian National University,5.676,79.25,,,,,,,2022,,,,,,,
118,Non-Rural,82,72,71,2,0,0,,Yes,Deakin University,6.99,74.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
119,Non-Rural,60,69,67,0,0,0,bhms(a) grad,Yes,Macquarie University,6.931,65.75,Australian National University,6.931,65.75,The University of Melbourne,6.917,65.33333333,Deakin University,6.931,65.75,Griffith University,6.931,65.75,The University of Western Australia,6.931,65.75,,,,2022,,,,,,,
120,Non-Rural,63,78,68,0,0,0,,Yes,The University of Queensland,7.0,69.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
121,Non-Rural,63,69,74,0,2,0,,Yes,The University of Queensland,6.755,68.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
122,Rural,69,79,66,10,0,0,rts,Yes,Deakin University,5.17,70.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
123,Non-Rural,50,85,50,0,0,0,strong portfolio,Yes,The University of Notre Dame Sydney,6.771,61.66666667,The University of Wollongong,5.5,58.75,The University of Melbourne,6.77,61.66666667,The University of Notre Dame Sydney,6.771,61.66666667,The University of Notre Dame Fremantle,6.771,61.66666667,Australian National University,6.78,58.75,,,,2022,,,,,,,
124,Non-Rural,59,68,74,2,0,0,,Yes,Deakin University,6.943,68.75,The University of Melbourne,6.932,67.0,The University of Queensland,6.871,67.0,The University of Western Australia,6.739,68.75,,,,,,,,,,2022,,,,,,,
125,Non-Rural,61,64,86,0,2,0,,Yes,Australian National University,6.528,74.25,,,,,,,,,,,,,,,,,,,2022,,,,,,,
126,Non-Rural,55,56,82,2,0,0,,No,,,,Macquarie University,6.6,68.75,,,,,,,,,,,,,,,,2022,,,,,,,
127,Non-Rural,55,56,82,2,0,0,,No,,,,Macquarie University,6.6,68.75,,,,,,,,,,,,,,,,2022,,,,,,,
128,Non-Rural,63,61,88,0,0,0,,Yes,The University of Queensland,6.75,70.66666667,The University of Melbourne,6.629,70.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
129,Non-Rural,69,67,68,0,0,0,,Yes,The University of Wollongong,5.5,68.0,Australian National University,6.3,68.0,The University of Notre Dame Sydney,6.3,68.0,,,,,,,,,,,,,2022,,,,,,,
130,Non-Rural,61,79,64,4,0,0,"wa resident, above average portfolio",Yes,The University of Notre Dame Sydney,6.597,68.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
131,Non-Rural,56,64,78,0,0,0,non-wa resident,Yes,The University of Western Australia,7.0,69.0,The University of Melbourne,7.0,66.0,Deakin University,7.0,69.0,The University of Queensland,7.0,66.0,Australian National University,7.0,69.0,,,,,,,2022,,,,,,,
132,Non-Rural,59,78,59,0,0,0,,Yes,The University of Notre Dame Fremantle,6.98,65.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
133,Non-Rural,60,60,83,0,0,0,,Yes,Griffith University,6.53,71.5,Australian National University,6.45,71.5,The University of Queensland,6.55,67.66666667,,,,,,,,,,,,,2022,,,,,,,
134,Non-Rural,64,83,71,0,0,0,,Yes,The University of Wollongong,5.5,72.25,The University of Notre Dame Sydney,5.56,72.66666667,The University of Wollongong,5.5,72.25,,,,,,,,,,,,,2022,,,,,,,
135,Non-Rural,71,65,95,0,0,0,,Yes,The University of Queensland,7.0,77.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
